Word,Frequency
though,338
may,420
seem,28
like,179
another,156
harry,17
potter,11
knockoff,2
percy,2
jackson,20
benefits,104
strong,294
supporting,13
cast,637
speedy,2
plot,353
plenty,76
fun,183
greek,5
mythology,11
nicole,7
holofcener,3
newest,2
might,118
slight,39
places,14
rendering,8
complex,85
characters,341
conflicted,2
economic,10
landscape,4
varied,1
natural,18
touching,50
sidney,6
lumet,4
feature,57
debut,105
superbly,9
written,58
dramatically,22
effective,115
courtroom,14
thriller,375
rightfully,2
stands,20
modern,135
classic,251
one,321
disney,57
finest,39
adventures,7
leagues,1
sea,19
brings,59
jules,2
verne,2
tale,178
vivid,23
life,274
features,159
awesome,2
giant,10
squid,1
attention,25
strictly,17
paid,3
style,107
instead,40
substance,22
historical,35
accuracy,2
visually,148
impressive,139
narratively,24
flimsy,10
epic,77
packed,24
twists,61
turns,45
essential,21
early,45
alfred,7
hitchcock,19
hints,11
dazzling,49
heights,22
reach,26
later,11
career,52
heart,101
right,70
place,36
starts,12
promising,33
exercise,19
devolves,8
overlong,18
unevenly,4
directed,42
disappointment,18
matched,12
garson,2
kanin,1
witty,70
sophisticated,15
screenplay,58
george,33
cukor,3
spencer,4
tracy,6
katherine,3
hepburn,8
top,31
form,54
comedy,466
adam,29
rib,2
despite,204
visuals,118
bridge,5
san,3
luis,1
rey,1
lifeless,7
adaptation,136
thornton,4
wilder,10
novel,80
saw,11
nine,7
queens,2
feel,72
redundant,1
snappy,5
performances,627
make,311
watch,79
full,91
striking,47
footage,32
deep,39
blue,18
intense,31
younger,19
viewers,267
fans,281
nature,38
documentaries,9
find,96
much,189
enjoy,27
errol,4
flynn,4
thrills,166
legendary,27
title,137
character,131
film,526
embodies,5
type,10
imaginative,24
family,161
adventure,97
silver,6
screen,88
competent,17
somewhat,69
static,3
tristan,1
isolde,1
achieve,17
sweeping,15
romanticism,2
aims,31
runs,13
frenetic,7
energy,77
punctuated,3
gratuitous,12
violence,86
sorely,4
lacks,150
development,24
stylistic,13
flair,32
incomprehensible,7
forgettable,37
ultraviolet,1
inept,10
every,52
regard,2
arthur,9
wastes,43
voice,30
talent,90
predictable,171
script,264
substandard,1
cg,10
animation,91
even,260
standards,20
camp,25
eternal,4
fails,163
entertain,30
humorously,3
amoral,4
oddball,15
comic,72
pierce,6
brosnan,4
greg,4
kinnear,4
flamboyant,4
aging,9
work,285
suburban,8
businessman,2
respectively,1
impressionistic,4
narrative,188
confound,2
viewer,43
denis,7
crafts,6
wonderfully,23
poetic,15
dreamlike,6
imagery,20
saint,3
ralph,8
amiable,26
walks,11
fine,95
line,28
inspirational,31
hokum,3
baxter,1
simply,23
enough,476
laughs,179
fuel,12
polanski,11
version,28
dickens,7
wo,29
audiences,128
asking,2
polished,12
skill,21
movie,541
impersonal,2
experience,77
john,105
wayne,9
proves,147
less,118
compelling,224
behind,43
camera,21
alamo,1
blustery,3
dramatization,16
fort,3
last,79
stand,28
feels,75
first,101
draft,2
race,22
class,18
struggles,42
